filepath,xmin,xmax,ymin,ymax
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars0_png.rf.474750da06a91befcd6cb21734b92830.xml,269,518,263,393
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars0_png.rf.b80262c55aaa353f73e38b1984942890.xml,288,532,297,412
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars0_png.rf.b8e609fcfd25d9cda4d293df667b3c8e.xml,299,542,306,427
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars100_png.rf.8369c8f92046b6ca01be661400b6aa09.xml,260,327,287,322
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars100_png.rf.b4fdc33e07b179eee450debe0ec39771.xml,269,335,267,303
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars100_png.rf.faddddaa22c81bf6f0cf909a1c817336.xml,281,347,273,308
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars101_png.rf.740905491bbc4d7fffbefaaadd33439f.xml,242,361,392,442
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars101_png.rf.c031c8c8fc4f816d968e156fbd8aa670.xml,256,374,442,486
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars101_png.rf.fec4cbbd09b967444d165f01825bc89e.xml,239,359,399,447
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars102_png.rf.2fffb1ff6ae266dc24ec786003b1136b.xml,70,555,329,488
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars102_png.rf.62dd40fb1c9e382e8e3556c4d9726aa2.xml,84,566,353,492
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars102_png.rf.809bd64152566be3bc2744ceb93f80b3.xml,73,557,359,507
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars103_png.rf.01a2f238748de361b86353ab655779be.xml,324,361,432,458
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars103_png.rf.168c8c6f1da0c40359207eb5c8d0a7df.xml,347,383,447,474
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars103_png.rf.aec9a3f92ff215fa929aa79719b5962e.xml,394,431,436,462
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars104_png.rf.1c10f678a67e52a67c37cd19b5691d05.xml,196,261,454,482
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars104_png.rf.2190ed5fca150b565d5fead361c805de.xml,270,334,469,500
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars104_png.rf.99c0b0a19e5fd127159f4495aeda5b9b.xml,278,343,469,500
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars105_png.rf.2245ddbbef8475f92f1a69ff644a23d5.xml,230,318,399,434
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars105_png.rf.28ef042b9339aaabf096ee3d509c0401.xml,247,334,407,445
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars105_png.rf.d15374d5a32d920314b28d08f2033409.xml,252,339,419,461
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars106_png.rf.6b1fccba4abc2fcf85aa5ce2a1897198.xml,205,270,210,245
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars106_png.rf.be9b0d02d1ac422183f145d714921b96.xml,234,299,185,223
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars106_png.rf.eba6b07169c3a080118e360b4d753b67.xml,194,260,207,242
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars107_png.rf.0806aa1196aef2155b205f80aecdecb6.xml,244,464,298,383
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars107_png.rf.3f75a308e38c70a8017f78801f2867fe.xml,214,425,315,418
D:/Madani/Semester_8/TA2023/Dataset/Dataset_V5\Cars107_png.rf.e36e6cf43db94ab805a46ec5ea37222b.xml,222,436,292,371
